"Id";"ActiveDate";"ActiveHour";"TotalIntensity";"AverageIntensity";"StepTotal"
1503960366;"2016-04-28";"10:00:00";19.0;0.3;987
1503960366;"2016-04-16";"14:00:00";20.0;0.3;580
1503960366;"2016-04-28";"11:00:00";10.0;0.2;288
1503960366;"2016-04-16";"15:00:00";0.0;0.0;0
1503960366;"2016-04-28";"12:00:00";16.0;0.3;317
1503960366;"2016-04-28";"13:00:00";33.0;0.6;1144
1503960366;"2016-04-16";"16:00:00";2.0;0.0;15
1503960366;"2016-04-28";"14:00:00";47.0;0.8;1512
1503960366;"2016-04-16";"17:00:00";17.0;0.3;380
1503960366;"2016-04-28";"15:00:00";5.0;0.1;115
1503960366;"2016-04-22";"15:00:00";10.0;0.2;180
1503960366;"2016-04-16";"18:00:00";10.0;0.2;96
1503960366;"2016-04-16";"19:00:00";12.0;0.2;146
1503960366;"2016-04-16";"20:00:00";19.0;0.3;385
1503960366;"2016-04-28";"16:00:00";10.0;0.2;554
1503960366;"2016-04-22";"16:00:00";4.0;0.1;22
1503960366;"2016-04-28";"17:00:00";11.0;0.2;235
1503960366;"2016-04-22";"17:00:00";18.0;0.3;1041
1503960366;"2016-04-28";"18:00:00";56.0;0.9;1829
1503960366;"2016-04-22";"18:00:00";23.0;0.4;514
1503960366;"2016-04-22";"19:00:00";16.0;0.3;629
1503960366;"2016-04-22";"20:00:00";13.0;0.2;329
1503960366;"2016-04-28";"19:00:00";1.0;0.0;13
1503960366;"2016-04-22";"21:00:00";159.0;2.7;5934
1503960366;"2016-04-28";"20:00:00";50.0;0.8;2122
1503960366;"2016-04-22";"22:00:00";30.0;0.5;855
1503960366;"2016-04-28";"21:00:00";21.0;0.4;986
1503960366;"2016-04-22";"23:00:00";54.0;0.9;1925
1503960366;"2016-04-28";"22:00:00";2.0;0.0;16
1503960366;"2016-04-28";"23:00:00";48.0;0.8;1512
1503960366;"2016-04-29";"00:00:00";9.0;0.2;202
1503960366;"2016-04-23";"00:00:00";9.0;0.2;182
1503960366;"2016-04-29";"01:00:00";0.0;0.0;0
1503960366;"2016-04-23";"01:00:00";0.0;0.0;0
1503960366;"2016-04-29";"02:00:00";4.0;0.1;71
1503960366;"2016-04-23";"02:00:00";1.0;0.0;11
1503960366;"2016-04-29";"03:00:00";0.0;0.0;0
1503960366;"2016-04-23";"03:00:00";0.0;0.0;0
1503960366;"2016-04-29";"04:00:00";0.0;0.0;0
1503960366;"2016-04-23";"04:00:00";0.0;0.0;0
1503960366;"2016-04-23";"05:00:00";0.0;0.0;0
1503960366;"2016-04-23";"06:00:00";2.0;0.0;12
1503960366;"2016-04-29";"05:00:00";0.0;0.0;0
1503960366;"2016-04-23";"07:00:00";0.0;0.0;0
1503960366;"2016-04-29";"06:00:00";0.0;0.0;0
1503960366;"2016-04-23";"08:00:00";8.0;0.1;127
1503960366;"2016-04-29";"07:00:00";3.0;0.1;27
1503960366;"2016-04-29";"08:00:00";13.0;0.2;201
